Breed,Sex,DOB,Intake_Date,Outcome_Date,Intake_Type,Animal_Type,Outcome_Type,Intake_Condition,Time_in_Shelter_Days,Primary_Color,Secondary_Color,Outcome_Age,Shelter_Name,Intake_Age
GERM SHEPHERD/MIX,Spayed,2002-06-22,2014-06-12,2016-08-11,TRANSFER,DOG,adoption,HEALTHY,791,tan,black,5164,Sonoma County Animal Shelter,4373
FOX TERR SMOOTH/MIX,Neutered,2004-04-09,2014-01-06,2014-01-07,TRANSFER,DOG,return to owner,HEALTHY,1,brown,none,3560,Sonoma County Animal Shelter,3559
AKBASH,Male,1900-01-01,2016-09-23,2016-10-07,STRAY,DOG,euthanize,UNTREATABLE,14,white,none,NaT,Sonoma County Animal Shelter,42634
PARAKEET,Male,1900-01-01,2019-06-27,2019-06-29,STRAY,OTHER,died,UNKNOWN,2,blue,none,NaT,Sonoma County Animal Shelter,43641
WELSH CORGI PEM,Spayed,2009-06-13,2018-06-13,2018-06-13,STRAY,DOG,return to owner,HEALTHY,0,red,white,3287,Sonoma County Animal Shelter,3287
GERM SHEPHERD,Female,1900-01-01,2020-01-25,2020-01-25,STRAY,DOG,return to owner,UNKNOWN,0,black,tan,NaT,Sonoma County Animal Shelter,43853
BEAGLE/MIX,Neutered,2014-09-13,2016-09-13,2016-09-22,STRAY,DOG,adoption,HEALTHY,9,brown,white,740,Sonoma County Animal Shelter,731
BEAGLE,Neutered,2015-04-06,2017-08-30,2017-10-04,STRAY,DOG,transfer,UNKNOWN,35,tricolor,none,912,Sonoma County Animal Shelter,877
DOMESTIC SH,Female,1900-01-01,2018-10-13,2018-11-03,STRAY,CAT,euthanize,UNTREATABLE,21,white,black,NaT,Sonoma County Animal Shelter,43384
DOMESTIC SH,Neutered,2014-05-01,2014-07-01,2014-07-12,OWNER SURRENDER,CAT,adoption,HEALTHY,11,brn tabby,white,72,Sonoma County Animal Shelter,61
GERM SHEPHERD,Male,2016-09-28,2018-09-28,2018-10-23,STRAY,DOG,euthanize,UNTREATABLE,25,black,brown,755,Sonoma County Animal Shelter,730
DOMESTIC SH,Spayed,2012-08-02,2023-08-02,2023-08-02,STRAY,CAT,return to owner,UNKNOWN,0,calico,none,4017,Sonoma County Animal Shelter,4017
AUST SHEPHERD,Spayed,2012-02-22,2014-02-18,2014-03-05,STRAY,DOG,adoption,HEALTHY,15,black,none,742,Sonoma County Animal Shelter,727
GERM SHEPHERD/MIX,Male,1900-01-01,2019-01-05,2019-01-05,STRAY,DOG,return to owner,HEALTHY,0,brown,white,NaT,Sonoma County Animal Shelter,43468
PIT BULL,Neutered,2022-03-09,2022-12-10,2023-02-09,STRAY,DOG,adoption,HEALTHY,61,br brindle,white,337,Sonoma County Animal Shelter,276
DOMESTIC SH,Spayed,1900-01-01,2019-10-15,2019-10-18,STRAY,CAT,return to owner,UNKNOWN,3,black,white,NaT,Sonoma County Animal Shelter,43751
DOMESTIC SH,Neutered,2015-07-06,2016-07-06,2016-07-23,STRAY,CAT,adoption,HEALTHY,17,brn tabby,none,383,Sonoma County Animal Shelter,366
ROTTWEILER/GERM SHEPHERD,Spayed,2014-11-25,2014-11-26,2015-01-23,STRAY,DOG,adoption,HEALTHY,58,brown,none,59,Sonoma County Animal Shelter,1
DUTCH SHEPHERD/MIX,Neutered,2013-08-03,2015-08-08,2015-09-11,ADOPTION RETURN,DOG,transfer,HEALTHY,34,br brindle,white,769,Sonoma County Animal Shelter,735
CHIHUAHUA SH,Neutered,2013-05-13,2016-03-23,2016-05-17,STRAY,DOG,transfer,HEALTHY,55,black,brown,1100,Sonoma County Animal Shelter,1045
PIT BULL,Spayed,2008-07-17,2018-01-02,2018-01-02,STRAY,DOG,return to owner,UNKNOWN,0,blue,white,3456,Sonoma County Animal Shelter,3456
POINTER/MIX,Neutered,2016-09-26,2018-03-16,2018-04-06,STRAY,DOG,adoption,HEALTHY,21,white,black,557,Sonoma County Animal Shelter,536
CHIHUAHUA SH/MIX,Neutered,2010-04-08,2014-04-01,2014-06-03,STRAY,DOG,adoption,HEALTHY,63,brown,white,1517,Sonoma County Animal Shelter,1454
DOMESTIC SH,Spayed,2012-08-12,2015-02-25,2015-11-10,OWNER SURRENDER,CAT,adoption,TREATABLE/MANAGEABLE,258,brn tabby,none,1185,Sonoma County Animal Shelter,927
DOMESTIC SH,Neutered,2014-08-01,2016-07-30,2016-08-12,OWNER SURRENDER,CAT,euthanize,HEALTHY,13,org tabby,none,742,Sonoma County Animal Shelter,729
LABRADOR RETR,Spayed,2012-06-29,2020-03-06,2020-03-06,STRAY,DOG,return to owner,UNKNOWN,0,black,none,2807,Sonoma County Animal Shelter,2807
CHOW CHOW/LABRADOR RETR,Male,2000-09-02,2014-09-02,2014-09-02,STRAY,DOG,return to owner,HEALTHY,0,tan,none,5113,Sonoma County Animal Shelter,5113
RABBIT SH,Neutered,2016-05-09,2018-02-06,2018-03-03,OWNER SURRENDER,OTHER,adoption,HEALTHY,25,tan,none,663,Sonoma County Animal Shelter,638
RABBIT SH,Spayed,2013-10-03,2014-09-23,2014-11-01,STRAY,OTHER,adoption,HEALTHY,39,black,none,394,Sonoma County Animal Shelter,355
PIT BULL/MIX,Spayed,2013-03-18,2015-10-03,2015-10-10,ADOPTION RETURN,DOG,adoption,HEALTHY,7,bl brindle,white,936,Sonoma County Animal Shelter,929
SIBERIAN HUSKY,Neutered,2018-09-10,2021-08-07,2021-11-02,STRAY,DOG,adoption,HEALTHY,87,gray,white,1149,Sonoma County Animal Shelter,1062
BORDER COLLIE/MIX,Spayed,2017-11-06,2017-12-28,2018-02-07,STRAY,DOG,adoption,HEALTHY,41,brown,white,93,Sonoma County Animal Shelter,52
DOMESTIC SH,Neutered,1900-01-01,2018-06-28,2018-07-12,STRAY,CAT,euthanize,UNTREATABLE,14,orange,none,NaT,Sonoma County Animal Shelter,43277
POODLE MIN,Neutered,2008-09-15,2014-07-03,2014-07-05,STRAY,DOG,return to owner,HEALTHY,2,white,none,2119,Sonoma County Animal Shelter,2117
DOMESTIC SH,Female,1900-01-01,2022-05-04,2022-06-14,STRAY,CAT,transfer,UNKNOWN,41,calico,none,NaT,Sonoma County Animal Shelter,44683
MIN PINSCHER,Female,2013-05-05,2016-04-22,2016-05-07,STRAY,DOG,transfer,TREATABLE/MANAGEABLE,15,brown,red,1098,Sonoma County Animal Shelter,1083
AM PIT BULL TER,Neutered,2013-06-16,2016-09-09,2016-09-17,QUARANTINE,DOG,return to owner,HEALTHY,8,white,none,1189,Sonoma County Animal Shelter,1181
MALTESE,Female,2000-01-01,2020-11-10,2020-11-10,STRAY,DOG,return to owner,UNKNOWN,0,white,none,7619,Sonoma County Animal Shelter,7619
DOMESTIC LH,Unknown,1900-01-01,2019-10-08,2019-10-08,STRAY,CAT,transfer,UNKNOWN,0,gray tabby,none,NaT,Sonoma County Animal Shelter,43744
DOMESTIC SH,Spayed,2016-09-09,2016-11-09,2016-11-17,STRAY,CAT,adoption,HEALTHY,8,gray tabby,none,69,Sonoma County Animal Shelter,61
GERM SHEPHERD,Female,1900-01-01,2014-09-23,2014-10-12,STRAY,DOG,euthanize,UNTREATABLE,19,tan,black,NaT,Sonoma County Animal Shelter,41903
GERM SHEPHERD/MIX,Spayed,2019-10-22,2020-10-14,2020-11-23,STRAY,DOG,transfer,UNKNOWN,40,black,brown,398,Sonoma County Animal Shelter,358
PIT BULL,Neutered,2008-09-26,2014-03-12,2014-03-12,CONFISCATE,DOG,return to owner,HEALTHY,0,brown,white,1993,Sonoma County Animal Shelter,1993
DOMESTIC SH,Female,2022-06-02,2022-06-23,2022-06-28,STRAY,CAT,transfer,UNKNOWN,5,brn tabby,none,26,Sonoma County Animal Shelter,21
CHIHUAHUA SH,Spayed,2014-03-11,2015-02-28,2015-03-27,STRAY,DOG,adoption,HEALTHY,27,tan,none,381,Sonoma County Animal Shelter,354
BURMESE/MIX,Neutered,2019-09-02,2019-10-02,2019-11-20,STRAY,CAT,adoption,TREATABLE/REHAB,49,chocolate,none,79,Sonoma County Animal Shelter,30
AUST SHEPHERD/WELSH CORGI PEM,Male,2008-08-14,2019-10-27,2019-11-02,STRAY,DOG,return to owner,UNKNOWN,6,black,blue merle,4097,Sonoma County Animal Shelter,4091
DOMESTIC SH,Spayed,2016-08-06,2016-09-08,2016-10-16,OWNER SURRENDER,CAT,adoption,HEALTHY,38,black,white,71,Sonoma County Animal Shelter,33
AUST CATTLE DOG/MIX,Neutered,2017-08-19,2018-01-25,2018-01-25,ADOPTION RETURN,DOG,adoption,HEALTHY,0,red,white,159,Sonoma County Animal Shelter,159
DOMESTIC SH,Unknown,1900-01-01,2018-10-20,2018-10-20,STRAY,CAT,euthanize,UNTREATABLE,0,black,none,NaT,Sonoma County Animal Shelter,43391
DOMESTIC SH,Female,1900-01-01,2019-08-02,2019-08-12,STRAY,CAT,euthanize,UNKNOWN,10,white,none,NaT,Sonoma County Animal Shelter,43677
DOMESTIC SH,Unknown,1900-01-01,2019-03-02,2019-03-05,STRAY,CAT,transfer,UNKNOWN,3,gray,none,NaT,Sonoma County Animal Shelter,43524
RABBIT SH,Neutered,2014-05-03,2016-04-26,2016-05-07,STRAY,OTHER,adoption,HEALTHY,11,white,black,735,Sonoma County Animal Shelter,724
AUST CATTLE DOG,Spayed,2017-04-01,2017-10-30,2017-11-01,STRAY,DOG,return to owner,UNKNOWN,2,black,white,214,Sonoma County Animal Shelter,212
DOMESTIC SH,Spayed,2013-09-04,2014-09-04,2014-10-28,STRAY,CAT,adoption,TREATABLE/REHAB,54,seal pt,none,419,Sonoma County Animal Shelter,365
LHASA APSO/POODLE MIN,Neutered,1900-01-01,2017-08-05,2017-08-05,CONFISCATE,DOG,return to owner,UNKNOWN,0,cream,none,NaT,Sonoma County Animal Shelter,42950
LABRADOR RETR/MIX,Male,2012-12-19,2014-12-19,2014-12-23,CONFISCATE,DOG,return to owner,HEALTHY,4,yellow,none,734,Sonoma County Animal Shelter,730
CATAHOULA/MASTIFF,Male,1900-01-01,2019-05-05,2019-05-15,OWNER SURRENDER,DOG,euthanize,UNTREATABLE,10,red merle,none,NaT,Sonoma County Animal Shelter,43588
DOMESTIC SH,Unknown,2015-04-04,2015-04-04,2015-04-04,STRAY,CAT,transfer,HEALTHY,0,black,white,0,Sonoma County Animal Shelter,0
DOMESTIC SH,Neutered,2011-09-01,2015-08-29,2015-09-03,CONFISCATE,CAT,return to owner,HEALTHY,5,white,none,1463,Sonoma County Animal Shelter,1458
PIT BULL/MIX,Spayed,2013-08-27,2015-08-17,2015-08-27,QUARANTINE,DOG,return to owner,HEALTHY,10,brown,white,730,Sonoma County Animal Shelter,720
DOMESTIC MH,Spayed,2016-05-21,2016-06-24,2016-07-23,STRAY,CAT,adoption,HEALTHY,29,black,none,63,Sonoma County Animal Shelter,34
GERM SHEPHERD/MIX,Female,2016-10-13,2020-10-13,2020-11-25,STRAY,DOG,euthanize,UNTREATABLE,43,brown,black,1504,Sonoma County Animal Shelter,1461
DOMESTIC SH,Neutered,2017-04-21,2017-06-21,2017-07-05,STRAY,CAT,adoption,HEALTHY,14,brn tabby,white,75,Sonoma County Animal Shelter,61
CHICKEN,Female,2016-02-28,2018-02-28,2018-03-16,STRAY,OTHER,adoption,HEALTHY,16,tan,none,747,Sonoma County Animal Shelter,731
MAREMMA SHEEPDG,Neutered,2014-12-02,2017-12-02,2017-12-02,STRAY,DOG,return to owner,HEALTHY,0,white,none,1096,Sonoma County Animal Shelter,1096
AMER BULLDOG,Neutered,2016-05-07,2017-08-15,2017-09-26,OWNER SURRENDER,DOG,transfer,TREATABLE/MANAGEABLE,42,brown,white,507,Sonoma County Animal Shelter,465
LABRADOR RETR,Neutered,2009-03-05,2014-12-16,2014-12-16,STRAY,DOG,return to owner,HEALTHY,0,black,none,2112,Sonoma County Animal Shelter,2112
DOMESTIC SH,Spayed,1900-01-01,2021-12-07,2021-12-29,OWNER SURRENDER,CAT,transfer,UNKNOWN,22,tortie,blue cream,NaT,Sonoma County Animal Shelter,44535
PIT BULL,Male,2016-01-26,2022-01-26,2022-02-04,CONFISCATE,DOG,return to owner,UNKNOWN,9,br brindle,white,2201,Sonoma County Animal Shelter,2192
BEAGLE/MIX,Neutered,2006-12-21,2019-12-21,2019-12-21,STRAY,DOG,return to owner,UNKNOWN,0,black,white,4748,Sonoma County Animal Shelter,4748
WELSH CORGI PEM/BORDER COLLIE,Spayed,2010-07-30,2020-03-10,2020-03-18,CONFISCATE,DOG,return to owner,UNKNOWN,8,tan,white,3519,Sonoma County Animal Shelter,3511
FOX TERR SMOOTH,Spayed,2015-08-04,2016-08-18,2016-08-18,STRAY,DOG,return to owner,TREATABLE/REHAB,0,tricolor,none,380,Sonoma County Animal Shelter,380
CHIHUAHUA SH/MIX,Neutered,2008-04-19,2018-03-28,2018-05-26,STRAY,DOG,adoption,TREATABLE/MANAGEABLE,59,tan,none,3689,Sonoma County Animal Shelter,3630
DOMESTIC SH,Spayed,2019-08-24,2019-11-05,2019-11-14,OWNER SURRENDER,CAT,adoption,UNKNOWN,9,brn tabby,white,82,Sonoma County Animal Shelter,73
RABBIT SH,Female,1900-01-01,2017-07-25,2017-08-05,STRAY,OTHER,transfer,UNKNOWN,11,white,orange,NaT,Sonoma County Animal Shelter,42939
DOMESTIC SH,Neutered,2012-05-04,2015-03-25,2015-06-06,STRAY,CAT,adoption,TREATABLE/MANAGEABLE,73,gray tabby,none,1128,Sonoma County Animal Shelter,1055
LOP-ENGLISH,Neutered,2017-07-15,2021-06-30,2021-07-31,STRAY,OTHER,transfer,UNKNOWN,31,white,none,1477,Sonoma County Animal Shelter,1446
PARSON RUSS TER,Neutered,1900-01-01,2017-07-12,2017-08-03,STRAY,DOG,euthanize,UNTREATABLE,22,tan,white,NaT,Sonoma County Animal Shelter,42926
GERM SHEPHERD/MIX,Spayed,2016-06-14,2016-10-06,2016-10-16,STRAY,DOG,adoption,HEALTHY,10,tan,none,124,Sonoma County Animal Shelter,114
DOMESTIC SH,Unknown,1900-01-01,2016-04-05,2016-04-05,STRAY,CAT,transfer,TREATABLE/REHAB,0,black,white,NaT,Sonoma County Animal Shelter,42463
BORDER COLLIE,Neutered,2013-12-19,2016-12-05,2016-12-23,STRAY,DOG,adoption,HEALTHY,18,black,white,1100,Sonoma County Animal Shelter,1082
DOMESTIC SH,Neutered,2018-05-05,2018-06-05,2018-07-13,CONFISCATE,CAT,adoption,HEALTHY,38,black,white,69,Sonoma County Animal Shelter,31
DOMESTIC MH,Female,1900-01-01,2015-09-13,2015-09-30,STRAY,CAT,euthanize,UNTREATABLE,17,brn tabby,none,NaT,Sonoma County Animal Shelter,42258
GERM SHEPHERD,Neutered,2017-07-01,2018-12-03,2019-01-05,STRAY,DOG,transfer,HEALTHY,33,tan,black,553,Sonoma County Animal Shelter,520
BELG MALINOIS,Neutered,1900-01-01,2020-01-17,2020-01-17,STRAY,DOG,return to owner,UNKNOWN,0,black,tan,NaT,Sonoma County Animal Shelter,43845
LABRADOR RETR,Female,2010-09-23,2014-09-23,2014-10-29,STRAY,DOG,euthanize,TREATABLE/MANAGEABLE,36,yellow,none,1497,Sonoma County Animal Shelter,1461
NORW ELKHOUND,Spayed,2008-09-29,2016-04-25,2016-04-26,STRAY,DOG,return to owner,TREATABLE/MANAGEABLE,1,tricolor,none,2766,Sonoma County Animal Shelter,2765
DOBERMAN PINSCH,Neutered,2015-12-25,2018-05-26,2018-07-14,STRAY,DOG,transfer,TREATABLE/MANAGEABLE,49,brown,tan,932,Sonoma County Animal Shelter,883
PARSON RUSS TER/MIX,Neutered,2010-04-16,2017-07-19,2017-07-19,STRAY,DOG,return to owner,UNKNOWN,0,white,red,2651,Sonoma County Animal Shelter,2651
BELG MALINOIS,Female,2013-05-13,2015-01-13,2015-01-13,STRAY,DOG,return to owner,HEALTHY,0,tan,black,610,Sonoma County Animal Shelter,610
BELG MALINOIS,Male,2019-01-12,2022-01-12,2022-01-12,STRAY,DOG,return to owner,UNKNOWN,0,tan,black,1096,Sonoma County Animal Shelter,1096
DOMESTIC SH,Neutered,1900-01-01,2015-01-03,2015-01-06,STRAY,CAT,return to owner,HEALTHY,3,black,none,NaT,Sonoma County Animal Shelter,42005
DOMESTIC SH,Unknown,1900-01-01,2023-03-07,2023-03-18,STRAY,CAT,transfer,UNKNOWN,11,black,white,NaT,Sonoma County Animal Shelter,44990
POODLE MIN/MIX,Neutered,2018-12-24,2021-10-28,2021-10-30,STRAY,DOG,return to owner,UNKNOWN,2,white,none,1041,Sonoma County Animal Shelter,1039
LABRADOR RETR/MIX,Spayed,2014-04-25,2014-07-24,2014-07-25,STRAY,DOG,return to owner,HEALTHY,1,tan,none,91,Sonoma County Animal Shelter,90
DOMESTIC SH,Unknown,1900-01-01,2017-04-22,2017-04-22,STRAY,CAT,euthanize,UNTREATABLE,0,buff,none,NaT,Sonoma County Animal Shelter,42845
BOSTON TERRIER,Neutered,2011-03-11,2014-03-04,2014-03-12,STRAY,DOG,adoption,UNKNOWN,8,brown,white,1097,Sonoma County Animal Shelter,1089
BORDER COLLIE,Neutered,2012-08-05,2016-12-06,2016-12-09,STRAY,DOG,return to owner,HEALTHY,3,black,white,1587,Sonoma County Animal Shelter,1584
DOMESTIC SH,Male,2013-10-05,2018-10-05,2018-10-05,STRAY,CAT,return to owner,HEALTHY,0,gray,none,1826,Sonoma County Animal Shelter,1826
LABRADOR RETR,Spayed,2013-03-25,2015-01-31,2015-04-14,STRAY,DOG,euthanize,HEALTHY,73,black,none,750,Sonoma County Animal Shelter,677
DOMESTIC SH,Unknown,1900-01-01,2016-07-20,2016-07-26,OWNER SURRENDER,CAT,transfer,HEALTHY,6,white,black,NaT,Sonoma County Animal Shelter,42569
SIBERIAN HUSKY,Spayed,2011-01-28,2015-01-15,2015-01-31,STRAY,DOG,return to owner,HEALTHY,16,black,white,1464,Sonoma County Animal Shelter,1448
HIMALAYAN,Neutered,2008-02-06,2018-05-02,2018-06-08,OWNER SURRENDER,CAT,adoption,TREATABLE/MANAGEABLE,37,seal pt,none,3775,Sonoma County Animal Shelter,3738
GERM SHEPHERD,Spayed,2022-03-06,2022-10-17,2022-10-28,QUARANTINE,DOG,return to owner,HEALTHY,11,black,tan,236,Sonoma County Animal Shelter,225
LABRADOR RETR/MIX,Unknown,1900-01-01,2017-12-22,2017-12-26,STRAY,DOG,died,UNKNOWN,4,black,white,NaT,Sonoma County Animal Shelter,43089
PIT BULL/MIX,Male,2011-05-01,2014-09-28,2014-09-30,STRAY,DOG,return to owner,HEALTHY,2,brown,white,1248,Sonoma County Animal Shelter,1246
DOMESTIC SH,Unknown,1900-01-01,2016-10-21,2016-10-22,STRAY,CAT,euthanize,UNTREATABLE,1,black,white,NaT,Sonoma County Animal Shelter,42662
AUST KELPIE/MIX,Male,2017-04-24,2019-04-01,2019-04-20,STRAY,DOG,return to owner,HEALTHY,19,liver,white,726,Sonoma County Animal Shelter,707
YORKSHIRE TERR/SCHNAUZER MIN,Male,1900-01-01,2018-07-06,2018-07-07,STRAY,DOG,return to owner,HEALTHY,1,gray,brown,NaT,Sonoma County Animal Shelter,43285
DOMESTIC SH,Spayed,2017-08-25,2017-10-25,2017-11-18,STRAY,CAT,adoption,HEALTHY,24,black,white,85,Sonoma County Animal Shelter,61
CHIHUAHUA SH/MIX,Neutered,1900-01-01,2020-01-13,2020-01-14,CONFISCATE,DOG,return to owner,UNKNOWN,1,black,none,NaT,Sonoma County Animal Shelter,43841
DOMESTIC SH,Spayed,2014-05-01,2015-10-20,2015-10-22,ADOPTION RETURN,CAT,euthanize,HEALTHY,2,calico,none,539,Sonoma County Animal Shelter,537
DOMESTIC SH,Neutered,2018-03-04,2021-02-21,2021-03-18,STRAY,CAT,adoption,TREATABLE/REHAB,25,black,none,1110,Sonoma County Animal Shelter,1085
DOMESTIC SH,Male,1900-01-01,2017-08-31,2017-09-08,STRAY,CAT,euthanize,UNTREATABLE,8,brn tabby,none,NaT,Sonoma County Animal Shelter,42976
CHIHUAHUA SH,Female,2009-03-01,2015-03-01,2015-03-01,STRAY,DOG,return to owner,TREATABLE/REHAB,0,tan,none,2191,Sonoma County Animal Shelter,2191
GERM SHEPHERD/MIX,Spayed,2019-04-06,2020-03-15,2020-04-11,STRAY,DOG,transfer,HEALTHY,27,black,tan,371,Sonoma County Animal Shelter,344
TR WALKER HOUND/MIX,Spayed,2023-02-12,2023-06-22,2023-07-19,STRAY,DOG,adoption,HEALTHY,27,tan,white,157,Sonoma County Animal Shelter,130
DOMESTIC MH,Spayed,2021-10-13,2022-09-30,2022-10-15,OWNER SURRENDER,CAT,adoption,HEALTHY,15,gray tabby,none,367,Sonoma County Animal Shelter,352
DOMESTIC SH,Unknown,1900-01-01,2022-07-27,2022-07-29,STRAY,CAT,disposal,UNKNOWN,2,white,brown,NaT,Sonoma County Animal Shelter,44767
GERM SHEPHERD,Female,2014-04-01,2015-10-05,2015-10-20,OWNER SURRENDER,DOG,euthanize,HEALTHY,15,black,tan,567,Sonoma County Animal Shelter,552
AMERICAN STAFF/PIT BULL,Neutered,2006-02-18,2017-01-03,2017-01-03,STRAY,DOG,return to owner,HEALTHY,0,red,white,3972,Sonoma County Animal Shelter,3972
LABRADOR RETR/MIX,Female,2007-07-13,2019-07-13,2019-07-25,STRAY,DOG,euthanize,UNKNOWN,12,black,none,4395,Sonoma County Animal Shelter,4383
GERM SHEPHERD,Male,1900-01-01,2017-05-15,2017-05-25,QUARANTINE,DOG,return to owner,HEALTHY,10,brown,black,NaT,Sonoma County Animal Shelter,42868
GERM SHEPHERD,Neutered,2017-10-14,2019-03-02,2019-05-09,STRAY,DOG,adoption,HEALTHY,68,tan,black,572,Sonoma County Animal Shelter,504
DOMESTIC SH,Male,1900-01-01,2016-07-14,2016-07-19,STRAY,CAT,transfer,HEALTHY,5,orange,white,NaT,Sonoma County Animal Shelter,42563
DOMESTIC SH,Neutered,2018-06-10,2021-06-15,2021-07-08,OWNER SURRENDER,CAT,transfer,UNKNOWN,23,black,white,1124,Sonoma County Animal Shelter,1101
SIAMESE,Neutered,2006-01-14,2021-01-13,2021-01-13,STRAY,CAT,euthanize,UNTREATABLE,0,seal pt,none,5478,Sonoma County Animal Shelter,5478
ANATOL SHEPHERD,Male,1900-01-01,2020-03-17,2020-05-06,STRAY,DOG,transfer,HEALTHY,50,white,gray,NaT,Sonoma County Animal Shelter,43905
CHIHUAHUA SH,Female,2012-06-03,2023-05-20,2023-07-17,STRAY,DOG,transfer,UNKNOWN,58,black,none,4061,Sonoma County Animal Shelter,4003
CALIFORNIAN,Male,1900-01-01,2016-05-28,2016-05-28,STRAY,OTHER,euthanize,UNTREATABLE,0,seal pt,none,NaT,Sonoma County Animal Shelter,42516
PARSON RUSS TER,Male,1900-01-01,2015-03-05,2015-03-06,STRAY,DOG,return to owner,HEALTHY,1,white,brown,NaT,Sonoma County Animal Shelter,42066
CHIHUAHUA SH,Spayed,2012-07-13,2022-10-11,2022-10-13,STRAY,DOG,return to owner,UNKNOWN,2,cream,none,3744,Sonoma County Animal Shelter,3742
DOMESTIC LH,Neutered,1900-01-01,2017-11-02,2017-11-02,STRAY,CAT,return to owner,HEALTHY,0,black,white,NaT,Sonoma County Animal Shelter,43039
DOMESTIC SH,Spayed,2016-09-28,2017-09-13,2017-10-11,STRAY,CAT,transfer,HEALTHY,28,gray tabby,none,378,Sonoma County Animal Shelter,350
GERM SHEPHERD/MIX,Female,2011-04-03,2014-04-02,2014-04-04,STRAY,DOG,return to owner,HEALTHY,2,tan,white,1097,Sonoma County Animal Shelter,1095
PIT BULL/MIX,Female,2011-07-19,2016-07-19,2016-07-26,STRAY,DOG,return to owner,HEALTHY,7,tan,white,1834,Sonoma County Animal Shelter,1827
PIT BULL,Spayed,2010-04-18,2015-09-01,2015-09-01,STRAY,DOG,return to owner,HEALTHY,0,br brindle,white,1962,Sonoma County Animal Shelter,1962
CHIHUAHUA SH,Neutered,2014-02-19,2015-02-11,2015-02-24,STRAY,DOG,adoption,HEALTHY,13,chocolate,tan,370,Sonoma County Animal Shelter,357
SIAMESE,Spayed,2015-03-20,2015-06-10,2015-06-27,OWNER SURRENDER,CAT,adoption,HEALTHY,17,lynx pt,none,99,Sonoma County Animal Shelter,82
DOMESTIC SH,Spayed,2019-05-16,2019-07-10,2019-08-07,STRAY,CAT,adoption,UNKNOWN,28,gray,none,83,Sonoma County Animal Shelter,55
DOMESTIC SH,Female,1900-01-01,2017-06-10,2017-06-13,STRAY,CAT,euthanize,UNTREATABLE,3,tortie,none,NaT,Sonoma County Animal Shelter,42894
DOMESTIC SH,Female,2014-04-22,2014-05-31,2014-06-04,STRAY,CAT,transfer,TREATABLE/REHAB,4,calico,none,43,Sonoma County Animal Shelter,39
CHIHUAHUA SH,Spayed,2014-03-15,2017-03-06,2017-03-18,STRAY,DOG,adoption,HEALTHY,12,brown,none,1099,Sonoma County Animal Shelter,1087
DOMESTIC SH,Neutered,2016-07-02,2016-09-14,2016-09-17,ADOPTION RETURN,CAT,adoption,HEALTHY,3,black,white,77,Sonoma County Animal Shelter,74
LABRADOR RETR,Spayed,2017-04-08,2017-08-08,2017-08-18,STRAY,DOG,adoption,HEALTHY,10,black,white,132,Sonoma County Animal Shelter,122
CAIRN TERRIER/MIX,Neutered,2009-12-07,2018-07-30,2018-07-31,STRAY,DOG,return to owner,UNKNOWN,1,white,none,3158,Sonoma County Animal Shelter,3157
GOLDEN RETR,Neutered,2010-02-02,2015-08-11,2015-08-12,CONFISCATE,DOG,return to owner,HEALTHY,1,gold,none,2017,Sonoma County Animal Shelter,2016
GUINEA PIG,Male,2010-01-20,2015-01-14,2015-01-24,OWNER SURRENDER,OTHER,died,UNTREATABLE,10,tricolor,none,1830,Sonoma County Animal Shelter,1820
DOMESTIC SH,Neutered,2022-04-15,2022-06-21,2022-07-08,OWNER SURRENDER,CAT,adoption,HEALTHY,17,org tabby,none,84,Sonoma County Animal Shelter,67
ENGLISH SPOT,Neutered,2019-10-04,2021-08-24,2022-04-08,STRAY,OTHER,transfer,TREATABLE/MANAGEABLE,227,white,black,917,Sonoma County Animal Shelter,690
GERM SHEPHERD/SIBERIAN HUSKY,Female,2017-06-28,2018-12-28,2018-12-29,STRAY,DOG,return to owner,UNKNOWN,1,black,tan,549,Sonoma County Animal Shelter,548
GREAT DANE/LABRADOR RETR,Neutered,2009-05-28,2014-04-10,2014-05-02,OWNER SURRENDER,DOG,transfer,HEALTHY,22,black,white,1800,Sonoma County Animal Shelter,1778
LABRADOR RETR,Male,1999-05-23,2014-12-21,2014-12-23,STRAY,DOG,return to owner,HEALTHY,2,red,white,5693,Sonoma County Animal Shelter,5691
PUG,Neutered,2012-02-24,2016-01-31,2016-02-26,STRAY,DOG,adoption,HEALTHY,26,black,white,1463,Sonoma County Animal Shelter,1437
DOMESTIC SH,Unknown,2014-04-30,2014-06-26,2014-07-01,STRAY,CAT,transfer,HEALTHY,5,brn tabby,white,62,Sonoma County Animal Shelter,57
DOMESTIC MH,Neutered,2007-01-04,2015-12-22,2016-02-27,OWNER SURRENDER,CAT,adoption,TREATABLE/MANAGEABLE,67,black,white,3341,Sonoma County Animal Shelter,3274
CHIHUAHUA SH/MIX,Neutered,2011-12-08,2014-11-29,2014-12-16,STRAY,DOG,adoption,HEALTHY,17,white,none,1104,Sonoma County Animal Shelter,1087
BORDER COLLIE/MIX,Spayed,2016-08-01,2018-05-01,2018-05-19,OWNER SURRENDER,DOG,adoption,HEALTHY,18,liver,white,656,Sonoma County Animal Shelter,638
ENG FOXHOUND/MIX,Spayed,2020-09-13,2021-07-26,2021-10-09,STRAY,DOG,adoption,HEALTHY,75,white,tan,391,Sonoma County Animal Shelter,316
