Animal_Type,DOB,Primary_Color,Secondary_Color,Sex,Intake_Date,Intake_Condition,Intake_Type,Outcome_Date,Outcome_Type,Intake_Age,Outcome_Age,Time_in_Shelter_Days,Intake_Age_Days,Breed,Shelter_Name
DOG,2015-01-24,TAN,None,Spayed,2018-01-24,NORMAL,STRAY,2018-02-07,TRANSFER,1096 days,1110 days,14 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2023-04-15,WHITE,BROWN,Male,2023-07-15,INJURED  MODERATE,STRAY,2023-07-15,EUTHANASIA,91 days,91 days,0 days,91,Unknown,Long Beach California Animal Shelter
DOG,2017-03-05,TAN,BROWN,Female,2019-03-05,NORMAL,STRAY,2019-03-08,RETURN TO OWNER,730 days,733 days,3 days,730,Unknown,Long Beach California Animal Shelter
CAT,2024-05-02,BLACK,None,Spayed,2024-06-02,I/I REPORT,STRAY,2024-12-04,ADOPTION,31 days,216 days,185 days,31,Unknown,Long Beach California Animal Shelter
DOG,2015-10-31,WHITE,BLACK,Neutered,2018-01-02,NORMAL,STRAY,2018-01-03,RETURN TO OWNER,794 days,795 days,1 days,794,Unknown,Long Beach California Animal Shelter
CAT,2024-04-02,BLACK,None,Neutered,2024-06-02,INJURED  MILD,STRAY,2024-08-03,ADOPTION,61 days,123 days,62 days,61,Unknown,Long Beach California Animal Shelter
DOG,2015-10-31,WHITE,BLACK,Female,2018-01-02,NORMAL,OWNER SURRENDER,2018-01-05,TRANSFER,794 days,797 days,3 days,794,Unknown,Long Beach California Animal Shelter
CAT,2023-04-02,GRAY,None,Neutered,2023-06-29,INJURED  MODERATE,STRAY,2023-11-02,RESCUE,88 days,214 days,126 days,88,Unknown,Long Beach California Animal Shelter
DOG,2021-01-28,WHITE,None,Male,2022-01-28,NORMAL,STRAY,2022-01-29,RETURN TO OWNER,365 days,366 days,1 days,365,Unknown,Long Beach California Animal Shelter
CAT,2022-08-27,SNOWSHOE,None,Neutered,2023-06-29,INJURED  MODERATE,STRAY,2023-09-08,ADOPTION,306 days,377 days,71 days,306,Unknown,Long Beach California Animal Shelter
CAT,2018-05-03,GRAY,WHITE,Male,2018-06-08,UNDER AGE/WEIGHT,STRAY,2018-06-16,RESCUE,36 days,44 days,8 days,36,Unknown,Long Beach California Animal Shelter
CAT,2020-06-18,BLACK,WHITE,Spayed,2022-06-18,INJURED  MODERATE,STRAY,2022-06-19,RETURN TO OWNER,730 days,731 days,1 days,730,Unknown,Long Beach California Animal Shelter
CAT,2023-05-14,BLACK,WHITE,Neutered,2023-08-05,NORMAL,STRAY,2024-01-05,ADOPTION,83 days,236 days,153 days,83,Unknown,Long Beach California Animal Shelter
CAT,2017-02-11,ORG TABBY,WHITE,Male,2017-05-11,NORMAL,STRAY,2017-05-18,RESCUE,89 days,96 days,7 days,89,Unknown,Long Beach California Animal Shelter
CAT,2023-05-14,WHITE,None,Spayed,2023-08-05,NORMAL,STRAY,2023-09-30,ADOPTION,83 days,139 days,56 days,83,Unknown,Long Beach California Animal Shelter
DOG,2017-08-24,BLACK,TAN,Female,2022-11-22,NORMAL,STRAY,2022-11-23,RETURN TO OWNER,1916 days,1917 days,1 days,1916,Unknown,Long Beach California Animal Shelter
DOG,2023-12-02,BROWN,TAN,Neutered,2024-09-27,NORMAL,STRAY,2024-10-13,ADOPTION,300 days,316 days,16 days,300,Unknown,Long Beach California Animal Shelter
DOG,2010-11-15,BLACK,WHITE,Female,2017-11-15,NORMAL,STRAY,2017-11-22,TRANSFER,2557 days,2564 days,7 days,2557,Unknown,Long Beach California Animal Shelter
WILD,2013-01-27,BROWN,WHITE,Male,2018-01-27,NORMAL,WILDLIFE,2018-01-27,RETURN TO WILD HABITAT,1826 days,1826 days,0 days,1826,Unknown,Long Beach California Animal Shelter
WILD,2017-01-18,BROWN,None,Unknown,2018-01-18,INJURED  SEVERE,WILDLIFE,2018-01-18,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
DOG,2021-05-10,WHITE,None,Spayed,2022-09-10,INJURED  MODERATE,OWNER SURRENDER,2022-09-21,RETURN TO OWNER,488 days,499 days,11 days,488,Unknown,Long Beach California Animal Shelter
CAT,2010-07-15,CALICO,None,Female,2017-07-15,ILL SEVERE,STRAY,2017-07-15,EUTHANASIA,2557 days,2557 days,0 days,2557,Unknown,Long Beach California Animal Shelter
CAT,2015-01-22,BLACK,WHITE,Neutered,2020-07-12,NORMAL,OWNER SURRENDER,2020-07-22,ADOPTION,1998 days,2008 days,10 days,1998,Unknown,Long Beach California Animal Shelter
BIRD,2016-10-12,WHITE,None,Female,2017-10-12,NORMAL,OWNER SURRENDER,2017-10-13,RESCUE,365 days,366 days,1 days,365,Unknown,Long Beach California Animal Shelter
CAT,2017-12-01,FLAME PT,None,Neutered,2018-09-01,NORMAL,STRAY,2018-09-12,ADOPTION,274 days,285 days,11 days,274,Unknown,Long Beach California Animal Shelter
CAT,2023-03-20,WHITE,None,Male,2023-04-20,UNDER AGE/WEIGHT,STRAY,2023-04-20,ADOPTION,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
DOG,2017-12-28,BLUE,WHITE,Neutered,2018-12-28,NORMAL,CONFISCATE,2019-01-17,RETURN TO OWNER,365 days,385 days,20 days,365,Unknown,Long Beach California Animal Shelter
CAT,2023-03-20,BRN TABBY,None,Male,2023-04-20,UNDER AGE/WEIGHT,STRAY,2023-04-30,ADOPTION,31 days,41 days,10 days,31,Unknown,Long Beach California Animal Shelter
DOG,2016-09-19,BLACK,BROWN,Female,2017-09-19,NORMAL,STRAY,2017-09-27,TRANSFER,365 days,373 days,8 days,365,Unknown,Long Beach California Animal Shelter
CAT,2023-03-20,BLACK,None,Neutered,2023-04-20,UNDER AGE/WEIGHT,STRAY,2023-06-07,ADOPTION,31 days,79 days,48 days,31,Unknown,Long Beach California Animal Shelter
CAT,2020-03-12,CALICO TAB,None,Female,2020-08-12,NORMAL,STRAY,2020-08-12,TRANSFER,153 days,153 days,0 days,153,Unknown,Long Beach California Animal Shelter
CAT,2021-08-31,GRAY TABBY,WHITE,Male,2021-09-22,UNDER AGE/WEIGHT,STRAY,2022-12-03,MISSING,22 days,459 days,437 days,22,Unknown,Long Beach California Animal Shelter
CAT,2021-08-31,GRAY,None,Male,2021-09-22,UNDER AGE/WEIGHT,STRAY,2022-12-03,MISSING,22 days,459 days,437 days,22,Unknown,Long Beach California Animal Shelter
DOG,2016-01-13,BLACK,WHITE,Male,2017-01-13,NORMAL,STRAY,2017-01-19,TRANSFER,366 days,372 days,6 days,366,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,BLACK,WHITE,Female,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-18,TRANSFER,30 days,38 days,8 days,30,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,BRN TABBY,WHITE,Male,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-12,RESCUE,30 days,32 days,2 days,30,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,GRAY TABBY,WHITE,Female,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-18,TRANSFER,30 days,38 days,8 days,30,Unknown,Long Beach California Animal Shelter
CAT,2018-05-03,BLACK,WHITE,Male,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-10,EUTHANASIA,7 days,7 days,0 days,7,Unknown,Long Beach California Animal Shelter
DOG,2014-10-22,TAN,None,Female,2021-10-22,NORMAL,STRAY,2021-10-25,RESCUE,2557 days,2560 days,3 days,2557,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,GRAY TABBY,WHITE,Male,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-12,RESCUE,30 days,32 days,2 days,30,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,GRAY,WHITE,Male,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-12,RESCUE,30 days,32 days,2 days,30,Unknown,Long Beach California Animal Shelter
CAT,2024-04-11,GRAY,None,Spayed,2024-05-08,UNDER AGE/WEIGHT,STRAY,2024-10-18,ADOPTION,27 days,190 days,163 days,27,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,GRAY,WHITE,Female,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-28,EUTHANASIA,30 days,48 days,18 days,30,Unknown,Long Beach California Animal Shelter
CAT,2018-05-03,BRN TABBY,None,Female,2018-05-10,UNDER AGE/WEIGHT,STRAY,2018-05-10,EUTHANASIA,7 days,7 days,0 days,7,Unknown,Long Beach California Animal Shelter
DOG,2019-11-23,GRAY,WHITE,Neutered,2020-11-23,NORMAL,STRAY,2020-11-26,RETURN TO OWNER,366 days,369 days,3 days,366,Unknown,Long Beach California Animal Shelter
CAT,2022-04-26,WHITE,None,Male,2022-05-05,UNDER AGE/WEIGHT,STRAY,2022-05-13,RESCUE,9 days,17 days,8 days,9,Unknown,Long Beach California Animal Shelter
DOG,2014-09-15,BLACK,BROWN,Male,2018-09-15,NORMAL,STRAY,2018-09-21,TRANSFER,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
WILD,2022-08-01,GRAY,BLACK,Unknown,2024-08-01,INJURED  MILD,WILDLIFE,2024-08-01,RETURN TO WILD HABITAT,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
CAT,2014-02-24,GRAY,None,Spayed,2021-02-28,NORMAL,OWNER SURRENDER,2021-03-04,TRANSFER,2561 days,2565 days,4 days,2561,Unknown,Long Beach California Animal Shelter
DOG,2009-10-21,BLACK,None,Female,2018-10-21,NORMAL,STRAY,2018-10-30,EUTHANASIA,3287 days,3296 days,9 days,3287,Unknown,Long Beach California Animal Shelter
OTHER,2021-02-27,BLACK,WHITE,Unknown,2022-02-27,ILL SEVERE,WILDLIFE,2022-02-27,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
CAT,2016-06-27,GRAY,None,Neutered,2018-06-27,NORMAL,STRAY,2018-10-11,ADOPTION,730 days,836 days,106 days,730,Unknown,Long Beach California Animal Shelter
CAT,2018-11-22,BRN TABBY,None,Female,2022-11-22,WELFARE SEIZURES,WELFARE SEIZED,2022-11-26,RETURN TO OWNER,1461 days,1465 days,4 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2021-11-25,WHITE,TAN,Spayed,2022-06-24,NORMAL,STRAY,2022-07-09,ADOPTION,211 days,226 days,15 days,211,Unknown,Long Beach California Animal Shelter
CAT,2018-11-22,TORTIE,None,Female,2022-11-22,WELFARE SEIZURES,WELFARE SEIZED,2022-11-26,RETURN TO OWNER,1461 days,1465 days,4 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2010-07-12,BLACK,WHITE,Female,2017-07-12,NORMAL,STRAY,2017-07-16,EUTHANASIA,2557 days,2561 days,4 days,2557,Unknown,Long Beach California Animal Shelter
DOG,2020-01-10,WHITE,BLACK,Neutered,2021-01-10,NORMAL,STRAY,2021-01-23,ADOPTION,366 days,379 days,13 days,366,Unknown,Long Beach California Animal Shelter
CAT,2015-05-03,GRAY,BROWN,Spayed,2021-10-28,INJURED  MILD,OWNER SURRENDER,2022-01-19,ADOPTION,2370 days,2453 days,83 days,2370,Unknown,Long Beach California Animal Shelter
CAT,2016-08-11,TORTIE,BLACK,Female,2017-08-11,NORMAL,STRAY,2017-08-17,TRANSFER,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
OTHER,2022-07-19,BROWN,None,Unknown,2022-10-19,INJURED  SEVERE,WILDLIFE,2022-10-19,EUTHANASIA,92 days,92 days,0 days,92,Unknown,Long Beach California Animal Shelter
DOG,2020-08-11,RED,WHITE,Female,2022-08-11,NORMAL,STRAY,2022-08-13,RETURN TO OWNER,730 days,732 days,2 days,730,Unknown,Long Beach California Animal Shelter
DOG,2017-10-26,BROWN,None,Male,2018-10-26,NORMAL,STRAY,2018-11-01,TRANSFER,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
DOG,2015-06-25,BROWN,None,Male,2017-06-25,NORMAL,CONFISCATE,2017-07-05,RETURN TO OWNER,731 days,741 days,10 days,731,Unknown,Long Beach California Animal Shelter
DOG,2019-01-26,GRAY,WHITE,Male,2022-01-26,NORMAL,STRAY,2022-01-29,RETURN TO OWNER,1096 days,1099 days,3 days,1096,Unknown,Long Beach California Animal Shelter
DOG,2014-09-11,BROWN,WHITE,Male,2018-09-11,NORMAL,STRAY,2018-09-26,RESCUE,1461 days,1476 days,15 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2021-02-26,BRN TABBY,None,Spayed,2023-02-26,INJURED  MILD,STRAY,2023-03-11,ADOPTION,730 days,743 days,13 days,730,Unknown,Long Beach California Animal Shelter
DOG,2022-02-02,SEAL,None,Neutered,2023-02-02,NORMAL,STRAY,2023-04-08,ADOPTION,365 days,430 days,65 days,365,Unknown,Long Beach California Animal Shelter
DOG,2015-12-31,BLACK,None,Male,2017-12-31,NORMAL,STRAY,2018-01-03,RETURN TO OWNER,731 days,734 days,3 days,731,Unknown,Long Beach California Animal Shelter
DOG,2013-11-08,BLACK,WHITE,Spayed,2017-11-08,NORMAL,STRAY,2017-12-27,ADOPTION,1461 days,1510 days,49 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2011-01-03,BLACK,None,Male,2019-01-03,ILL SEVERE,STRAY,2019-01-22,EUTHANASIA,2922 days,2941 days,19 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2018-02-06,WHITE,None,Female,2018-07-06,NORMAL,STRAY,2018-07-12,TRANSFER,150 days,156 days,6 days,150,Unknown,Long Beach California Animal Shelter
CAT,2018-02-12,ORG TABBY,None,Neutered,2021-02-11,NORMAL,STRAY,2021-02-28,ADOPTION,1095 days,1112 days,17 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2015-07-13,TAN,WHITE,Female,2018-07-13,NORMAL,STRAY,2018-07-24,ADOPTION,1096 days,1107 days,11 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2019-09-27,GRAY,None,Neutered,2021-09-27,NORMAL,STRAY,2021-10-31,FOSTER TO ADOPT,731 days,765 days,34 days,731,Unknown,Long Beach California Animal Shelter
DOG,2013-03-04,BLACK,TAN,Neutered,2017-03-04,NORMAL,STRAY,2017-03-10,ADOPTION,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2018-03-11,TRICOLOR,None,Male,2018-05-11,NORMAL,STRAY,2018-05-17,TRANSFER,61 days,67 days,6 days,61,Unknown,Long Beach California Animal Shelter
CAT,2021-03-15,GRAY,None,Neutered,2023-04-07,NORMAL,RETURN,2023-04-07,TRANSFER,753 days,753 days,0 days,753,Unknown,Long Beach California Animal Shelter
DOG,2017-05-04,CREAM,None,Neutered,2020-05-04,NORMAL,CONFISCATE,2020-05-21,ADOPTION,1096 days,1113 days,17 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2016-05-31,ORANGE,WHITE,Neutered,2019-05-31,NORMAL,STRAY,2019-06-01,"SHELTER, NEUTER, RETURN",1095 days,1096 days,1 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2016-05-09,BROWN,TRICOLOR,Neutered,2021-05-09,INJURED  MODERATE,STRAY,2021-05-22,ADOPTION,1826 days,1839 days,13 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2022-03-09,BLUE,None,Neutered,2024-03-09,NORMAL,STRAY,2024-05-19,ADOPTION,731 days,802 days,71 days,731,Unknown,Long Beach California Animal Shelter
DOG,2012-12-29,BROWN,None,Male,2018-12-29,NORMAL,STRAY,2019-01-18,ADOPTION,2191 days,2211 days,20 days,2191,Unknown,Long Beach California Animal Shelter
CAT,2023-08-06,CALICO,None,Spayed,2023-09-06,ILL MILD,STRAY,2023-10-07,ADOPTION,31 days,62 days,31 days,31,Unknown,Long Beach California Animal Shelter
CAT,2018-10-28,GRAY,None,Female,2019-01-12,NORMAL,STRAY,2019-01-22,ADOPTION,76 days,86 days,10 days,76,Unknown,Long Beach California Animal Shelter
DOG,2011-02-22,BROWN,WHITE,Female,2019-05-17,NORMAL,STRAY,2019-05-29,TRANSFER,3006 days,3018 days,12 days,3006,Unknown,Long Beach California Animal Shelter
CAT,2023-08-06,BRN TABBY,None,Neutered,2023-09-06,ILL MILD,STRAY,2023-10-23,RESCUE,31 days,78 days,47 days,31,Unknown,Long Beach California Animal Shelter
CAT,2016-05-12,BLACK,None,Spayed,2017-05-12,NORMAL,STRAY,2017-05-19,RESCUE,365 days,372 days,7 days,365,Unknown,Long Beach California Animal Shelter
DOG,2023-03-04,BLACK,None,Male,2023-09-02,NORMAL,STRAY,2023-09-08,RESCUE,182 days,188 days,6 days,182,Unknown,Long Beach California Animal Shelter
DOG,2014-09-25,BROWN,WHITE,Female,2019-09-25,NORMAL,STRAY,2019-10-01,TRANSFER,1826 days,1832 days,6 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2012-01-06,WHITE,BLACK,Male,2018-01-06,NORMAL,STRAY,2018-01-12,EUTHANASIA,2192 days,2198 days,6 days,2192,Unknown,Long Beach California Animal Shelter
DOG,2021-01-19,TAN,BLACK,Male,2024-01-19,NORMAL,STRAY,2024-01-21,RETURN TO OWNER,1095 days,1097 days,2 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2003-07-06,BLACK,None,Male,2018-10-28,NORMAL,STRAY,2018-10-28,RETURN TO OWNER,5593 days,5593 days,0 days,5593,Unknown,Long Beach California Animal Shelter
CAT,2017-06-01,BLACK,None,Female,2017-06-24,UNDER AGE/WEIGHT,STRAY,2017-06-24,EUTHANASIA,23 days,23 days,0 days,23,Unknown,Long Beach California Animal Shelter
DOG,2019-01-09,BLUE FAWN,WHITE,Spayed,2025-01-09,NORMAL,OWNER SURRENDER,2025-01-09,RESCUE,2192 days,2192 days,0 days,2192,Unknown,Long Beach California Animal Shelter
DOG,2019-02-13,BROWN,None,Female,2019-06-13,NORMAL,STRAY,2019-06-19,TRANSFER,120 days,126 days,6 days,120,Unknown,Long Beach California Animal Shelter
CAT,2016-09-23,BLACK,None,Spayed,2017-09-08,NORMAL,OWNER SURRENDER,2017-09-15,TRANSFER,350 days,357 days,7 days,350,Unknown,Long Beach California Animal Shelter
DOG,2015-04-17,TRICOLOR,None,Male,2017-04-17,NORMAL,SAFE KEEP,2017-05-03,TRANSFER,731 days,747 days,16 days,731,Unknown,Long Beach California Animal Shelter
DOG,2018-04-06,WHITE,None,Male,2019-04-06,INJURED  MILD,STRAY,2019-04-07,RETURN TO OWNER,365 days,366 days,1 days,365,Unknown,Long Beach California Animal Shelter
CAT,2014-04-01,BLACK,WHITE,Spayed,2017-12-30,NORMAL,STRAY,2018-04-17,ADOPTION,1369 days,1477 days,108 days,1369,Unknown,Long Beach California Animal Shelter
DOG,2020-02-10,BLACK,WHITE,Neutered,2022-02-10,INJURED  MODERATE,STRAY,2022-03-26,ADOPTION,731 days,775 days,44 days,731,Unknown,Long Beach California Animal Shelter
DOG,2016-04-25,BLACK,WHITE,Neutered,2017-04-25,NORMAL,STRAY,2017-07-31,ADOPTION,365 days,462 days,97 days,365,Unknown,Long Beach California Animal Shelter
CAT,2017-09-26,BLACK,None,Male,2017-10-26,UNDER AGE/WEIGHT,STRAY,2017-11-02,EUTHANASIA,30 days,37 days,7 days,30,Unknown,Long Beach California Animal Shelter
CAT,2017-02-15,GRAY,None,Unknown,2017-02-17,UNDER AGE/WEIGHT,STRAY,2017-02-20,RESCUE,2 days,5 days,3 days,2,Unknown,Long Beach California Animal Shelter
CAT,2017-09-07,LYNX PT,None,Spayed,2019-09-07,FRACTIOUS,STRAY,2019-10-03,"SHELTER, NEUTER, RETURN",730 days,756 days,26 days,730,Unknown,Long Beach California Animal Shelter
DOG,2013-08-28,BLACK,WHITE,Male,2017-08-28,NORMAL,STRAY,2017-09-03,TRANSFER,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2015-10-26,WHITE,None,Male,2018-10-26,NORMAL,OWNER SURRENDER,2018-10-27,TRANSFER,1096 days,1097 days,1 days,1096,Unknown,Long Beach California Animal Shelter
DOG,2018-01-05,BLACK,BROWN,Male,2019-01-05,NORMAL,STRAY,2019-01-19,ADOPTION,365 days,379 days,14 days,365,Unknown,Long Beach California Animal Shelter
DOG,2017-04-07,BLACK,BROWN,Male,2017-12-07,NORMAL,OWNER SURRENDER,2017-12-08,TRANSFER,244 days,245 days,1 days,244,Unknown,Long Beach California Animal Shelter
DOG,2018-07-01,BLACK,BROWN,Female,2018-10-31,NORMAL,STRAY,2018-11-07,TRANSFER,122 days,129 days,7 days,122,Unknown,Long Beach California Animal Shelter
CAT,2021-09-30,GRAY TABBY,None,Neutered,2022-09-30,INJURED  SEVERE,STRAY,2022-12-21,ADOPTION,365 days,447 days,82 days,365,Unknown,Long Beach California Animal Shelter
DOG,2007-06-03,BROWN,TAN,Spayed,2018-08-07,NORMAL,STRAY,2018-08-08,RETURN TO OWNER,4083 days,4084 days,1 days,4083,Unknown,Long Beach California Animal Shelter
DOG,2019-09-27,GRAY,WHITE,Neutered,2022-09-27,NORMAL,STRAY,2023-06-23,ADOPTION,1096 days,1365 days,269 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2018-06-26,BRN TABBY,None,Male,2018-07-26,UNDER AGE/WEIGHT,STRAY,2018-07-26,RESCUE,30 days,30 days,0 days,30,Unknown,Long Beach California Animal Shelter
DOG,2011-05-26,BLACK,TAN,Neutered,2018-06-14,NORMAL,STRAY,2018-06-16,RETURN TO OWNER,2576 days,2578 days,2 days,2576,Unknown,Long Beach California Animal Shelter
CAT,2019-04-06,ORG TABBY,None,Male,2019-05-06,UNDER AGE/WEIGHT,STRAY,2019-05-06,RESCUE,30 days,30 days,0 days,30,Unknown,Long Beach California Animal Shelter
DOG,2015-06-08,BLACK,TAN,Female,2017-06-08,NORMAL,STRAY,2017-06-21,TRANSFER,731 days,744 days,13 days,731,Unknown,Long Beach California Animal Shelter
CAT,2019-04-06,TORTIE,None,Unknown,2019-05-06,UNDER AGE/WEIGHT,STRAY,2019-05-06,RESCUE,30 days,30 days,0 days,30,Unknown,Long Beach California Animal Shelter
DOG,2017-04-18,WHITE,TAN,Male,2017-05-18,UNDER AGE/WEIGHT,STRAY,2017-05-21,DIED,30 days,33 days,3 days,30,Unknown,Long Beach California Animal Shelter
CAT,2012-03-02,GRAY,BROWN,Neutered,2017-03-02,FERAL,STRAY,2017-03-09,"SHELTER, NEUTER, RETURN",1826 days,1833 days,7 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2016-05-04,BLACK,BROWN,Male,2019-05-04,NORMAL,STRAY,2019-05-04,RETURN TO OWNER,1095 days,1095 days,0 days,1095,Unknown,Long Beach California Animal Shelter
CAT,2024-10-13,GRAY TABBY,None,Female,2024-11-21,UNDER AGE/WEIGHT,STRAY,2024-12-11,RESCUE,39 days,59 days,20 days,39,Unknown,Long Beach California Animal Shelter
DOG,2013-01-19,BROWN,BLACK,Neutered,2019-04-21,NORMAL,STRAY,2019-04-22,RETURN TO OWNER,2283 days,2284 days,1 days,2283,Unknown,Long Beach California Animal Shelter
WILD,2016-02-08,GRAY,None,Unknown,2020-02-08,ILL SEVERE,WILDLIFE,2020-02-08,RETURN TO WILD HABITAT,1461 days,1461 days,0 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2021-08-23,WHITE,GRAY,Unknown,2021-09-07,NORMAL,STRAY,2021-09-08,RESCUE,15 days,16 days,1 days,15,Unknown,Long Beach California Animal Shelter
DOG,2015-10-19,TRICOLOR,None,Neutered,2017-10-19,NORMAL,STRAY,2017-10-19,RETURN TO OWNER,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
DOG,2009-05-07,WHITE,TAN,Spayed,2017-05-07,NORMAL,STRAY,2017-06-17,ADOPTION,2922 days,2963 days,41 days,2922,Unknown,Long Beach California Animal Shelter
CAT,2015-08-27,BLACK,WHITE,Spayed,2018-08-27,NORMAL,STRAY,2018-08-27,"SHELTER, NEUTER, RETURN",1096 days,1096 days,0 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2016-01-04,BRN TABBY,None,Male,2017-01-04,INJURED  SEVERE,STRAY,2017-01-05,EUTHANASIA,366 days,367 days,1 days,366,Unknown,Long Beach California Animal Shelter
CAT,2018-05-08,BLACK,None,Female,2018-06-13,UNDER AGE/WEIGHT,STRAY,2018-06-24,EUTHANASIA,36 days,47 days,11 days,36,Unknown,Long Beach California Animal Shelter
CAT,2014-03-19,GRAY,WHITE,Spayed,2017-03-19,NORMAL,OWNER SURRENDER,2017-04-13,RESCUE,1096 days,1121 days,25 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2017-04-11,BRN TABBY,WHITE,Neutered,2017-07-11,NORMAL,STRAY,2017-09-13,ADOPTION,91 days,155 days,64 days,91,Unknown,Long Beach California Animal Shelter
DOG,2015-09-07,WHITE,TAN,Spayed,2017-09-07,NORMAL,STRAY,2017-09-07,RETURN TO OWNER,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
CAT,2019-04-03,GRAY TABBY,TORTIE,Male,2019-05-02,UNDER AGE/WEIGHT,STRAY,2019-05-04,TRANSFER,29 days,31 days,2 days,29,Unknown,Long Beach California Animal Shelter
DOG,2020-02-11,BLACK,WHITE,Female,2020-09-11,INJURED  MILD,STRAY,2020-09-17,TRANSFER,213 days,219 days,6 days,213,Unknown,Long Beach California Animal Shelter
REPTILE,2011-06-15,GREEN,BROWN,Unknown,2019-06-15,NORMAL,STRAY,2019-06-17,RESCUE,2922 days,2924 days,2 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2017-08-11,WHITE,BLACK,Male,2021-08-11,NORMAL,STRAY,2021-08-19,RESCUE,1461 days,1469 days,8 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2017-05-29,BROWN,BLACK,Neutered,2019-05-29,NORMAL,STRAY,2019-06-20,ADOPTION,730 days,752 days,22 days,730,Unknown,Long Beach California Animal Shelter
CAT,2020-02-15,SNOWSHOE,None,Spayed,2021-02-15,NORMAL,STRAY,2021-02-25,ADOPTION,366 days,376 days,10 days,366,Unknown,Long Beach California Animal Shelter
CAT,2020-07-27,BLACK,None,Male,2020-08-11,NORMAL,STRAY,2020-08-11,RESCUE,15 days,15 days,0 days,15,Unknown,Long Beach California Animal Shelter
DOG,2016-08-18,BLACK,BROWN,Female,2017-08-18,NORMAL,STRAY,2017-08-24,TRANSFER,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
DOG,2017-10-02,BROWN,WHITE,Male,2019-10-02,NORMAL,STRAY,2019-10-09,RESCUE,730 days,737 days,7 days,730,Unknown,Long Beach California Animal Shelter
CAT,2020-03-28,BLACK,WHITE,Spayed,2020-07-28,ILL MILD,OWNER SURRENDER,2020-08-13,ADOPTION,122 days,138 days,16 days,122,Unknown,Long Beach California Animal Shelter
DOG,2014-03-27,BLACK,TAN,Neutered,2018-03-27,BEHAVIOR  MODERATE,STRAY,2018-05-25,RESCUE,1461 days,1520 days,59 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2020-07-01,BLACK,WHITE,Male,2020-07-22,NORMAL,STRAY,2020-07-23,RESCUE,21 days,22 days,1 days,21,Unknown,Long Beach California Animal Shelter
DOG,2016-06-29,BLACK,WHITE,Neutered,2017-06-29,NORMAL,STRAY,2017-07-16,ADOPTION,365 days,382 days,17 days,365,Unknown,Long Beach California Animal Shelter
CAT,2017-06-20,BLACK,None,Female,2017-08-20,NORMAL,STRAY,2017-08-23,RESCUE,61 days,64 days,3 days,61,Unknown,Long Beach California Animal Shelter
CAT,2017-02-06,WHITE,GRAY,Female,2017-08-06,NORMAL,STRAY,2017-08-25,ADOPTION,181 days,200 days,19 days,181,Unknown,Long Beach California Animal Shelter
